pt.iscte.es2.business.OptimizationBusinessImpl	public pt.iscte.es2.dto.service.optimization.SaveOptimizationConfigurationResult saveOptimization(java.lang.String, java.lang.String, java.lang.String, java.lang.String, List<pt.iscte.es2.dto.OptimizationConfigurationVariables>, List<pt.iscte.es2.dto.OptimizationConfigurationObjectives>, List<pt.iscte.es2.dto.OptimizationConfigurationAlgorithms>, List<pt.iscte.es2.dto.OptimizationConfigurationRestrictions>, pt.iscte.es2.dto.AlgorithmChoiceMethod, java.lang.Integer, org.springframework.web.multipart.MultipartFile) 	optimizationConfiguration	B8	0/17
pt.iscte.es2.datamanager.OptimizationDataManagerImpl	public java.lang.Integer saveExecutionOptimizationConfiguration(pt.iscte.es2.dto.OptimizationConfiguration) 	optimizationConfigurationEntity	B1	0/3
pt.iscte.es2.business.OptimizationBusinessImpl	public pt.iscte.es2.dto.service.optimization.FileUploadResult fileUpload(java.lang.String, org.springframework.web.multipart.MultipartFile) 	newFile	B4	1/4
pt.iscte.es2.business.OptimizationBusinessImpl	public pt.iscte.es2.dto.service.optimization.SaveOptimizationJobSolutionResult saveOptimizationJobSolution(java.lang.Integer, pt.iscte.es2.dto.State, List<pt.iscte.es2.dto.OptimizationJobSolutions>, org.springframework.web.multipart.MultipartFile, org.springframework.web.multipart.MultipartFile) 	newFile	B9	1/4
pt.iscte.es2.business.OptimizationBusinessImpl	public pt.iscte.es2.dto.service.optimization.SaveOptimizationJobSolutionResult saveOptimizationJobSolution(java.lang.Integer, pt.iscte.es2.dto.State, List<pt.iscte.es2.dto.OptimizationJobSolutions>, org.springframework.web.multipart.MultipartFile, org.springframework.web.multipart.MultipartFile) 	newFile	B15	1/4
pt.iscte.es2.business.OptimizationBusinessImpl	public pt.iscte.es2.dto.service.optimization.FileUploadResult fileUpload(java.lang.String, org.springframework.web.multipart.MultipartFile) 	newFile	B4	1/3
pt.iscte.es2.business.OptimizationBusinessImpl	public pt.iscte.es2.dto.service.optimization.SaveOptimizationJobSolutionResult saveOptimizationJobSolution(java.lang.Integer, pt.iscte.es2.dto.State, List<pt.iscte.es2.dto.OptimizationJobSolutions>, org.springframework.web.multipart.MultipartFile, org.springframework.web.multipart.MultipartFile) 	newFile	B9	1/3
pt.iscte.es2.business.OptimizationBusinessImpl	public pt.iscte.es2.dto.service.optimization.SaveOptimizationJobSolutionResult saveOptimizationJobSolution(java.lang.Integer, pt.iscte.es2.dto.State, List<pt.iscte.es2.dto.OptimizationJobSolutions>, org.springframework.web.multipart.MultipartFile, org.springframework.web.multipart.MultipartFile) 	newFile	B15	1/3
pt.iscte.es2.business.OptimizationBusinessImpl	private void processCSV(org.springframework.web.multipart.MultipartFile, java.lang.Integer, List<pt.iscte.es2.dto.OptimizationConfigurationUserSolutions>) 	newFile	B1	2/4
pt.iscte.es2.business.OptimizationBusinessImpl	public pt.iscte.es2.dto.service.optimization.SaveOptimizationJobSolutionResult saveOptimizationJobSolution(java.lang.Integer, pt.iscte.es2.dto.State, List<pt.iscte.es2.dto.OptimizationJobSolutions>, org.springframework.web.multipart.MultipartFile, org.springframework.web.multipart.MultipartFile) 	latexPath	B9	3/5
pt.iscte.es2.business.OptimizationBusinessImpl	public pt.iscte.es2.dto.service.optimization.SaveOptimizationJobSolutionResult saveOptimizationJobSolution(java.lang.Integer, pt.iscte.es2.dto.State, List<pt.iscte.es2.dto.OptimizationJobSolutions>, org.springframework.web.multipart.MultipartFile, org.springframework.web.multipart.MultipartFile) 	rPath	B15	3/5
pt.iscte.es2.business.OptimizationBusinessImpl	private void processCSV(org.springframework.web.multipart.MultipartFile, java.lang.Integer, List<pt.iscte.es2.dto.OptimizationConfigurationUserSolutions>) 	fileToDelete	B1	7/11
